sender,recipient,time,keyword_flag,subject_len,sentiment
user9979@company.com,user6838@company.com,2023-01-01 15:00:00,0,14,0
user2877@company.com,user426@company.com,2023-01-01 07:13:00,0,7,0
user340@company.com,user8686@company.com,2023-01-01 17:07:00,0,7,0
user7547@company.com,user944@company.com,2023-01-01 17:19:00,1,12,0
user6651@company.com,user5550@company.com,2023-01-01 16:21:00,1,7,0
user4733@company.com,user619@company.com,2023-01-01 15:34:00,0,7,0
user8203@company.com,user5494@company.com,2023-01-01 07:12:00,1,12,0
user2664@company.com,user1106@company.com,2023-01-01 19:36:00,0,7,0
user444@company.com,user5031@company.com,2023-01-01 08:35:00,0,14,0
user8520@company.com,user4890@company.com,2023-01-01 15:08:00,0,7,0
user6681@company.com,user281@company.com,2023-01-01 18:45:00,1,7,0
user6880@company.com,user2569@company.com,2023-01-01 07:51:00,0,7,0
user8182@company.com,user3801@company.com,2023-01-01 15:19:00,0,7,0
user2275@company.com,user2752@company.com,2023-01-01 08:23:00,1,12,0
user3779@company.com,user4859@company.com,2023-01-01 10:38:00,1,12,0
user6893@company.com,user8255@company.com,2023-01-01 09:40:00,1,7,0
user2104@company.com,user3998@company.com,2023-01-01 15:06:00,1,7,0
user4615@company.com,user7755@company.com,2023-01-01 11:58:00,0,7,0
user2802@company.com,user9941@company.com,2023-01-01 16:22:00,1,7,0
user7336@company.com,user5797@company.com,2023-01-01 12:15:00,0,7,0
user3755@company.com,user5937@company.com,2023-01-01 07:27:00,1,7,0
user4137@company.com,user1179@company.com,2023-01-01 10:50:00,0,7,0
user495@company.com,user7725@company.com,2023-01-01 17:53:00,1,7,0
user4118@company.com,user4070@company.com,2023-01-01 09:36:00,1,12,0
user9318@company.com,user2166@company.com,2023-01-01 18:49:00,0,14,0
user3044@company.com,user2241@company.com,2023-01-01 09:07:00,0,7,0
user3850@company.com,user7420@company.com,2023-01-01 17:00:00,0,7,0
user2558@company.com,user2261@company.com,2023-01-01 15:32:00,0,7,0
user9956@company.com,user7765@company.com,2023-01-01 19:03:00,0,7,0
user7108@company.com,user498@company.com,2023-01-01 07:40:00,1,7,0
user2277@company.com,user1002@company.com,2023-01-01 13:54:00,0,14,0
user500@company.com,user8590@company.com,2023-01-01 11:06:00,0,14,0
user6322@company.com,user9558@company.com,2023-01-01 17:44:00,1,12,0
user7765@company.com,user7570@company.com,2023-01-01 12:12:00,0,7,0
user3969@company.com,user9001@company.com,2023-01-01 13:12:00,1,12,0
user7710@company.com,user3368@company.com,2023-01-01 13:46:00,1,7,0
user2383@company.com,user1906@company.com,2023-01-01 14:34:00,1,7,0
user7722@company.com,user2629@company.com,2023-01-01 09:32:00,0,14,0
user4374@company.com,user3662@company.com,2023-01-01 13:38:00,0,14,0
user7193@company.com,user4830@company.com,2023-01-01 09:47:00,0,7,0
user9083@company.com,user869@company.com,2023-01-01 19:41:00,0,7,0
user7141@company.com,user9874@company.com,2023-01-01 08:37:00,0,14,0
user8561@company.com,user878@company.com,2023-01-01 16:56:00,0,7,0
user1704@company.com,user7775@company.com,2023-01-01 11:20:00,1,7,0
user2146@company.com,user7365@company.com,2023-01-01 19:20:00,0,7,0
user8124@company.com,user160@company.com,2023-01-01 07:16:00,0,14,0
user555@company.com,user2840@company.com,2023-01-01 18:12:00,0,7,0
user6335@company.com,user2624@company.com,2023-01-01 15:24:00,1,7,0
user1291@company.com,user1126@company.com,2023-01-01 13:56:00,0,7,0
user2063@company.com,user8041@company.com,2023-01-01 14:41:00,0,14,0
user3998@company.com,user9042@company.com,2023-01-01 16:14:00,0,14,0
user3670@company.com,user7003@company.com,2023-01-01 17:16:00,0,7,0
user339@company.com,user3996@company.com,2023-01-01 13:45:00,1,7,0
user7381@company.com,user1236@company.com,2023-01-01 13:33:00,0,7,0
user9786@company.com,user8019@company.com,2023-01-01 09:37:00,0,7,0
user1181@company.com,user9844@company.com,2023-01-01 07:04:00,0,14,0
user1365@company.com,user8884@company.com,2023-01-01 12:22:00,1,7,0
user185@company.com,user6142@company.com,2023-01-01 19:31:00,1,7,0
user4694@company.com,user8455@company.com,2023-01-01 14:55:00,0,14,0
user3614@company.com,user9098@company.com,2023-01-01 08:44:00,1,12,0
user1598@company.com,user7925@company.com,2023-01-01 11:30:00,1,7,0
user9848@company.com,user366@company.com,2023-01-01 19:53:00,1,12,0
user2992@company.com,user3994@company.com,2023-01-01 09:33:00,1,7,0
user3324@company.com,user3846@company.com,2023-01-01 14:15:00,1,12,0
user2399@company.com,user3258@company.com,2023-01-01 07:44:00,1,7,0
user7286@company.com,user6575@company.com,2023-01-01 09:59:00,0,14,0
user7571@company.com,user2730@company.com,2023-01-01 13:58:00,1,12,0
user9886@company.com,user3974@company.com,2023-01-01 08:56:00,0,7,0
user5989@company.com,user8204@company.com,2023-01-01 19:21:00,0,7,0
user1660@company.com,user8538@company.com,2023-01-01 13:09:00,1,7,0
user3633@company.com,user9856@company.com,2023-01-01 12:59:00,1,12,0
user3502@company.com,user9519@company.com,2023-01-01 11:43:00,0,7,0
user8061@company.com,user4620@company.com,2023-01-01 09:08:00,1,7,0
user3340@company.com,user4786@company.com,2023-01-01 16:03:00,0,7,0
user3292@company.com,user4161@company.com,2023-01-01 09:24:00,0,7,0
user2561@company.com,user6706@company.com,2023-01-01 10:56:00,1,7,0
user4173@company.com,user4908@company.com,2023-01-01 15:13:00,0,14,0
user4115@company.com,user1827@company.com,2023-01-01 07:54:00,1,7,0
user5051@company.com,user5527@company.com,2023-01-01 17:55:00,0,7,0
user6388@company.com,user179@company.com,2023-01-01 08:38:00,0,7,0
user7430@company.com,user8034@company.com,2023-01-01 19:56:00,0,7,0
user9032@company.com,user6382@company.com,2023-01-01 14:20:00,1,12,0
user6622@company.com,user8804@company.com,2023-01-01 07:50:00,1,12,0
user3190@company.com,user5073@company.com,2023-01-01 12:44:00,1,12,0
user2038@company.com,user382@company.com,2023-01-01 14:06:00,1,12,0
user8402@company.com,user364@company.com,2023-01-01 13:22:00,1,7,0
user614@company.com,user2818@company.com,2023-01-01 13:19:00,1,12,0
user2199@company.com,user2188@company.com,2023-01-01 10:04:00,1,7,0
user6753@company.com,user4805@company.com,2023-01-01 19:09:00,0,14,0
user2486@company.com,user209@company.com,2023-01-01 14:25:00,1,7,0
user7986@company.com,user9399@company.com,2023-01-01 13:25:00,1,12,0
user5719@company.com,user8556@company.com,2023-01-01 08:44:00,0,7,0
user4906@company.com,user3737@company.com,2023-01-01 19:18:00,1,7,0
user7595@company.com,user7240@company.com,2023-01-01 18:24:00,0,7,0
user3800@company.com,user6501@company.com,2023-01-01 18:44:00,0,7,0
user6305@company.com,user6683@company.com,2023-01-01 17:15:00,1,12,0
user9005@company.com,user7004@company.com,2023-01-01 08:11:00,0,14,0
user4276@company.com,user5792@company.com,2023-01-01 16:31:00,1,12,0
user6719@company.com,user7896@company.com,2023-01-01 18:41:00,1,7,0
user935@company.com,user4138@company.com,2023-01-01 16:22:00,0,14,0
user6487@company.com,user9803@company.com,2023-01-01 09:22:00,0,14,0
user9893@company.com,user2037@company.com,2023-01-01 08:22:00,1,7,0
user7026@company.com,user5626@company.com,2023-01-01 19:51:00,0,7,0
user2307@company.com,user7457@company.com,2023-01-01 17:35:00,0,14,0
user3106@company.com,user6640@company.com,2023-01-01 09:16:00,0,7,0
user177@company.com,user4363@company.com,2023-01-01 13:30:00,1,12,0
user9972@company.com,user3585@company.com,2023-01-01 10:35:00,0,7,0
user9554@company.com,user5566@company.com,2023-01-01 19:46:00,0,14,0
user2474@company.com,user7599@company.com,2023-01-01 15:24:00,0,7,0
user6313@company.com,user3306@company.com,2023-01-01 17:55:00,0,14,0
user4330@company.com,user1471@company.com,2023-01-01 10:20:00,0,14,0
user3162@company.com,user9923@company.com,2023-01-01 14:33:00,1,7,0
user1334@company.com,user4912@company.com,2023-01-01 08:11:00,0,14,0
user1096@company.com,user1213@company.com,2023-01-01 19:37:00,0,14,0
user6306@company.com,user8089@company.com,2023-01-01 14:14:00,1,12,0
user8922@company.com,user5232@company.com,2023-01-01 09:43:00,0,7,0
user7452@company.com,user5081@company.com,2023-01-01 14:26:00,0,14,0
user1894@company.com,user5477@company.com,2023-01-01 12:34:00,1,7,0
user9571@company.com,user7827@company.com,2023-01-01 19:12:00,0,7,0
user4972@company.com,user160@company.com,2023-01-01 07:33:00,0,14,0
user1229@company.com,user1018@company.com,2023-01-01 12:54:00,0,7,0
user1493@company.com,user2752@company.com,2023-01-01 11:01:00,1,12,0
user6933@company.com,user6757@company.com,2023-01-01 14:33:00,1,12,0
user1662@company.com,user8712@company.com,2023-01-01 13:48:00,1,12,0
user4746@company.com,user5790@company.com,2023-01-01 10:15:00,0,7,0
user3268@company.com,user7468@company.com,2023-01-01 10:13:00,0,14,0
user749@company.com,user7192@company.com,2023-01-01 17:52:00,1,7,0
user7176@company.com,user6553@company.com,2023-01-01 07:12:00,0,14,0
user656@company.com,user7695@company.com,2023-01-01 14:29:00,0,7,0
user6021@company.com,user4040@company.com,2023-01-01 10:36:00,1,12,0
user4322@company.com,user1298@company.com,2023-01-01 11:57:00,1,7,0
user1483@company.com,user2700@company.com,2023-01-01 14:50:00,1,7,0
user7863@company.com,user9320@company.com,2023-01-01 15:35:00,0,14,0
user2874@company.com,user7497@company.com,2023-01-01 19:08:00,0,14,0
user9984@company.com,user3232@company.com,2023-01-01 12:10:00,1,7,0
user1177@company.com,user2532@company.com,2023-01-01 07:39:00,0,7,0
user7435@company.com,user5871@company.com,2023-01-01 12:19:00,1,12,0
user8169@company.com,user923@company.com,2023-01-01 07:18:00,1,12,0
user5797@company.com,user8973@company.com,2023-01-01 14:02:00,0,14,0
user2176@company.com,user8501@company.com,2023-01-01 07:35:00,1,12,0
user533@company.com,user3140@company.com,2023-01-01 11:06:00,0,14,0
user6421@company.com,user3214@company.com,2023-01-01 15:26:00,0,14,0
user577@company.com,user1492@company.com,2023-01-01 07:33:00,0,7,0
user879@company.com,user1693@company.com,2023-01-01 12:12:00,1,7,0
user2262@company.com,user7356@company.com,2023-01-01 15:01:00,0,14,0
